# Points recovered from Felix' thesis, pag.87
# Pz	Counts
23.901306240928882  4.960835509138633
24.087082728592165  4.960835509138178
24.30188679245283  8.61618798955601
24.499274310595066  46.997389033942454
24.696661828737305  52.48041775456977
24.899854862119014  98.1723237597912
25.09724238026125  145.6919060052221
25.294629898403485  160.31331592689298
25.497822931785198  249.86945169712817
25.69521044992743  304.6997389033943
25.898403483309146  343.0809399477812
26.09579100145138  458.2245430809396
26.298984034833094  635.5091383812007
26.496371552975326  781.7232375979108
26.69375907111756  946.2140992167099
26.891146589259797  1191.1227154046996
27.09433962264151  1393.994778067885
27.291727140783745  1558.485639686684
27.500725689404934  1660.8355091383812
27.69811320754717  1660.8355091383812
27.895500725689406  1710.182767624021
28.098693759071118  1794.2558746736293
28.296081277213354  1850.9138381201044
28.49346879535559  1777.8067885117493
28.6966618287373  1722.976501305483
28.899854862119014  1576.762402088773
29.103047895500726  1372.0626631853784
29.300435413642962  1083.2898172323758
29.497822931785198  810.966057441253
29.70101596516691  595.3002610966055
29.898403483309146  37.85900783289844
30.101596516690858  26.892950391644945
30.29898403483309  15.926892950390993
30.502177068214806  21.409921671018083
30.693759071117558  12.271540469973615
30.896952104499277  8.61618798955601
