Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-20.0000	0.0000	1.5950	42.4449	26.6104	0.0000	0.0000	141.4066	88.6535
0.0000	0.0000	1.5950	24.9253	15.6267	0.0003	0.0002	87.6218	54.9339
20.0000	0.0000	1.5937	21.5424	13.5171	0.0000	0.0000	76.1607	47.7883
0.0000	-80.0000	1.5934	0.2381	0.1494	0.0000	0.0000	1.3925	0.8740
0.0000	-75.0000	1.5935	0.3488	0.2189	0.0004	0.0002	1.8620	1.1685
0.0000	-70.0000	1.5942	0.5007	0.3140	0.0005	0.0003	2.5800	1.6183
0.0000	-65.0000	1.5955	0.6995	0.4384	0.0004	0.0002	3.4484	2.1613
0.0000	-60.0000	1.5934	0.9446	0.5928	0.0000	0.0000	4.5814	2.8753
0.0000	-55.0000	1.5954	1.4378	0.9012	0.0000	0.0000	6.5023	4.0758
0.0000	-50.0000	1.5948	2.2558	1.4145	0.0005	0.0003	9.5263	5.9732
0.0000	-45.0000	1.5941	3.4389	2.1573	0.0000	0.0000	13.8787	8.7064
0.0000	-40.0000	1.5935	5.2183	3.2747	0.0003	0.0002	20.1389	12.6379
0.0000	-35.0000	1.5937	7.7574	4.8676	0.0000	0.0000	28.9833	18.1863
0.0000	-30.0000	1.5952	10.7676	6.7501	0.0000	0.0000	39.2617	24.6128
0.0000	-25.0000	1.5942	14.4578	9.0688	0.0000	0.0000	51.5235	32.3188
0.0000	-20.0000	1.5944	18.3816	11.5287	0.0000	0.0000	64.5127	40.4616
0.0000	-15.0000	1.5946	22.3495	14.0157	0.0000	0.0000	78.3144	49.1123
0.0000	-10.0000	1.5928	26.2270	16.4656	0.0000	0.0000	91.6611	57.5458
0.0000	-5.0000	1.5943	30.0932	18.8749	0.0000	0.0000	104.0576	65.2667
0.0000	0.0000	1.5931	33.1534	20.8105	0.0000	0.0000	113.8409	71.4582
0.0000	5.0000	1.5936	35.4451	22.2419	0.0002	0.0001	121.1190	76.0027
0.0000	10.0000	1.5942	34.9571	21.9271	0.0000	0.0000	119.3907	74.8888
0.0000	15.0000	1.5949	31.7587	19.9126	0.0000	0.0000	111.5151	69.9197
0.0000	20.0000	1.5944	28.9439	18.1540	0.0005	0.0003	103.0762	64.6508
0.0000	25.0000	1.5940	26.0576	16.3473	0.0000	0.0000	93.5085	58.6629
0.0000	30.0000	1.5936	22.5174	14.1295	0.0000	0.0000	80.8648	50.7419
0.0000	35.0000	1.5941	18.0661	11.3331	0.0000	0.0000	66.9009	41.9680
0.0000	40.0000	1.5933	13.4696	8.4541	0.0000	0.0000	51.8444	32.5398
0.0000	45.0000	1.5940	9.4362	5.9197	0.0000	0.0000	38.5244	24.1679
0.0000	50.0000	1.5944	5.7402	3.6002	0.0000	0.0000	26.2200	16.4451
0.0000	55.0000	1.5938	3.0859	1.9362	0.0000	0.0000	17.0667	10.7084
0.0000	60.0000	1.5939	1.4857	0.9322	0.0000	0.0000	10.7459	6.7421
0.0000	65.0000	1.5947	0.6903	0.4328	0.0000	0.0000	7.2752	4.5622
0.0000	70.0000	1.5935	0.3181	0.1997	0.0000	0.0000	5.1507	3.2323
0.0000	75.0000	1.5942	0.2017	0.1265	0.0000	0.0000	3.9941	2.5054
0.0000	80.0000	1.5949	0.1463	0.0917	0.0000	0.0000	3.1129	1.9518
