Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-80.0000	0.0000	1.5936	0.0749	0.0470	0.0006	0.0004	0.4496	0.2821
-60.0000	0.0000	1.5943	0.4516	0.2833	0.0010	0.0006	7.9265	4.9716
-40.0000	0.0000	1.5927	46.7710	29.3652	0.0007	0.0005	164.8217	103.4834
-20.0000	0.0000	1.5945	150.7674	94.5520	0.0003	0.0002	486.1222	304.8658
0.0000	0.0000	1.5940	169.4687	106.3136	0.0003	0.0002	546.9023	343.0907
20.0000	0.0000	1.5939	96.5256	60.5605	0.0000	0.0000	323.4645	202.9427
40.0000	0.0000	1.5937	36.5567	22.9385	0.0003	0.0002	124.4274	78.0755
60.0000	0.0000	1.5947	0.4528	0.2839	0.0013	0.0008	6.4226	4.0275
80.0000	0.0000	1.5948	0.0165	0.0104	0.0004	0.0002	0.4760	0.2985
0.0000	-80.0000	1.5941	1.0080	0.6323	0.0007	0.0004	4.2116	2.6420
0.0000	-75.0000	1.5938	1.2860	0.8069	0.0010	0.0006	5.3300	3.3442
0.0000	-70.0000	1.5947	1.5173	0.9515	0.0005	0.0003	6.5790	4.1255
0.0000	-65.0000	1.5937	1.9235	1.2070	0.0005	0.0003	8.4018	5.2719
0.0000	-60.0000	1.5933	2.6358	1.6543	0.0008	0.0005	11.3903	7.1489
0.0000	-55.0000	1.5929	3.9361	2.4711	0.0006	0.0004	17.0863	10.7268
0.0000	-50.0000	1.5943	6.5518	4.1096	0.0000	0.0000	26.8531	16.8435
0.0000	-45.0000	1.5948	11.0819	6.9489	0.0009	0.0006	42.9886	26.9562
0.0000	-40.0000	1.5933	18.0661	11.3389	0.0131	0.0082	66.8403	41.9512
0.0000	-35.0000	1.5935	26.5789	16.6796	0.0000	0.0000	96.7203	60.6968
0.0000	-30.0000	1.5942	37.1657	23.3131	0.0009	0.0005	135.4560	84.9682
0.0000	-25.0000	1.5939	51.1667	32.1013	0.0000	0.0000	185.4325	116.3377
0.0000	-20.0000	1.5940	71.9285	45.1249	0.0008	0.0005	255.1702	160.0831
0.0000	-15.0000	1.5930	101.3644	63.6308	0.0000	0.0000	345.5532	216.9186
0.0000	-10.0000	1.5943	134.6928	84.4843	0.0003	0.0002	443.6599	278.2798
0.0000	-5.0000	1.5935	161.1210	101.1142	0.0000	0.0000	519.3392	325.9202
0.0000	0.0000	1.5944	169.0755	106.0427	0.0013	0.0008	544.8827	341.7459
0.0000	5.0000	1.5934	157.2091	98.6642	0.0008	0.0005	515.2547	323.3732
0.0000	10.0000	1.5944	135.6204	85.0585	0.0000	0.0000	453.8010	284.6150
0.0000	15.0000	1.5947	110.8584	69.5172	0.0018	0.0011	379.4797	237.9646
0.0000	20.0000	1.5939	85.6218	53.7192	0.0024	0.0015	301.9114	189.4194
0.0000	25.0000	1.5946	62.1876	39.0000	0.0009	0.0006	228.4058	143.2414
0.0000	30.0000	1.5930	42.8386	26.8914	0.0010	0.0007	166.3624	104.4322
0.0000	35.0000	1.5929	29.1062	18.2721	0.0004	0.0003	120.2827	75.5103
0.0000	40.0000	1.5933	20.5788	12.9156	0.0000	0.0000	89.2064	55.9875
0.0000	45.0000	1.5941	14.7496	9.2525	0.0006	0.0003	66.5668	41.7577
0.0000	50.0000	1.5938	9.9975	6.2730	0.0007	0.0005	48.4508	30.4005
0.0000	55.0000	1.5948	6.1777	3.8736	0.0014	0.0009	33.6942	21.1275
0.0000	60.0000	1.5937	3.0847	1.9356	0.0460	0.0289	21.7744	13.6631
0.0000	65.0000	1.5938	1.4763	0.9263	0.0155	0.0097	14.4810	9.0856
0.0000	70.0000	1.5943	0.6928	0.4345	0.0011	0.0007	9.9168	6.2201
0.0000	75.0000	1.5939	0.4232	0.2655	0.0006	0.0004	7.1460	4.4834
0.0000	80.0000	1.5949	0.3016	0.1891	0.0006	0.0004	5.3095	3.3290
