Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-20.0000	0.0000	1.5936	83.2034	52.2105	0.0000	0.0000	261.6529	164.1884
0.0000	0.0000	1.5940	74.9343	47.0095	0.0000	0.0000	235.8519	147.9601
20.0000	0.0000	1.5935	61.5310	38.6149	0.0000	0.0000	195.8179	122.8891
0.0000	-80.0000	1.5933	0.0190	0.0119	0.0000	0.0000	0.4367	0.2741
0.0000	-75.0000	1.5933	0.0444	0.0279	0.0000	0.0000	0.5017	0.3149
0.0000	-70.0000	1.5948	0.0529	0.0332	0.0000	0.0000	0.6128	0.3842
0.0000	-65.0000	1.5930	0.0729	0.0458	0.0000	0.0000	0.7791	0.4891
0.0000	-60.0000	1.5940	0.0978	0.0614	0.0000	0.0000	1.1721	0.7353
0.0000	-55.0000	1.5933	0.1943	0.1219	0.0000	0.0000	1.6492	1.0351
0.0000	-50.0000	1.5941	0.3595	0.2255	0.0000	0.0000	2.2654	1.4211
0.0000	-45.0000	1.5944	0.5832	0.3658	0.0000	0.0000	3.2170	2.0176
0.0000	-40.0000	1.5948	0.8580	0.5380	0.0000	0.0000	4.8484	3.0401
0.0000	-35.0000	1.5946	1.4086	0.8833	0.0000	0.0000	7.7860	4.8825
0.0000	-30.0000	1.5937	2.5333	1.5896	0.0000	0.0000	13.5728	8.5166
0.0000	-25.0000	1.5948	5.5477	3.4787	0.0000	0.0000	26.0080	16.3082
0.0000	-20.0000	1.5939	11.8356	7.4255	0.0000	0.0000	49.0155	30.7516
0.0000	-15.0000	1.5939	21.5479	13.5191	0.0000	0.0000	82.2805	51.6225
0.0000	-10.0000	1.5939	35.6382	22.3597	0.0000	0.0000	127.5152	80.0041
0.0000	-5.0000	1.5951	56.2302	35.2523	0.0004	0.0003	186.3279	116.8142
0.0000	0.0000	1.5947	74.9178	46.9800	0.0000	0.0000	235.5430	147.7062
0.0000	5.0000	1.5943	73.5060	46.1041	0.0000	0.0000	232.9363	146.1012
0.0000	10.0000	1.5961	52.8420	33.1071	0.0000	0.0000	178.6622	111.9372
0.0000	15.0000	1.5939	31.5018	19.7642	0.0000	0.0000	118.3417	74.2475
0.0000	20.0000	1.5951	18.0154	11.2943	0.0000	0.0000	74.9390	46.9810
0.0000	25.0000	1.5937	9.6009	6.0242	0.0000	0.0000	45.4962	28.5470
0.0000	30.0000	1.5932	4.1271	2.5904	0.0000	0.0000	25.4452	15.9710
0.0000	35.0000	1.5937	1.2684	0.7959	0.0004	0.0002	14.4697	9.0791
0.0000	40.0000	1.5947	0.5050	0.3167	0.0000	0.0000	9.8581	6.1816
0.0000	45.0000	1.5942	0.3265	0.2048	0.0000	0.0000	7.8857	4.9465
0.0000	50.0000	1.5943	0.2447	0.1535	0.0003	0.0002	6.8143	4.2741
0.0000	55.0000	1.5938	0.2060	0.1292	0.0000	0.0000	5.9260	3.7181
0.0000	60.0000	1.5937	0.1407	0.0883	0.0000	0.0000	4.8932	3.0703
0.0000	65.0000	1.5944	0.1213	0.0761	0.0000	0.0000	3.9716	2.4910
0.0000	70.0000	1.5949	0.0929	0.0582	0.0000	0.0000	3.1506	1.9754
0.0000	75.0000	1.5944	0.0688	0.0431	0.0000	0.0000	2.3592	1.4797
0.0000	80.0000	1.5926	0.0606	0.0380	0.0000	0.0000	1.7341	1.0888
