Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-80.0000	0.0000	1.5932	0.0287	0.0180	0.0000	0.0000	0.3777	0.2370
-75.0000	0.0000	1.5934	0.0463	0.0291	0.0000	0.0000	0.4818	0.3023
-70.0000	0.0000	1.5946	0.0385	0.0242	0.0000	0.0000	0.6553	0.4109
-65.0000	0.0000	1.5928	0.0771	0.0484	0.0004	0.0003	1.0681	0.6706
-60.0000	0.0000	1.5935	0.1109	0.0696	0.0000	0.0000	1.9224	1.2064
-55.0000	0.0000	1.5944	0.1798	0.1128	0.0005	0.0003	3.5263	2.2116
-50.0000	0.0000	1.5940	0.3227	0.2024	0.0005	0.0003	6.9916	4.3862
-45.0000	0.0000	1.5939	0.8368	0.5250	0.0000	0.0000	14.2279	8.9266
-40.0000	0.0000	1.5944	3.6508	2.2898	0.0000	0.0000	31.7186	19.8939
-35.0000	0.0000	1.5927	14.1624	8.8919	0.0004	0.0003	73.4156	46.0939
-30.0000	0.0000	1.5934	37.9336	23.8074	0.0000	0.0000	153.4867	96.3294
-25.0000	0.0000	1.5940	74.1981	46.5487	0.0000	0.0000	266.7769	167.3643
-20.0000	0.0000	1.5935	118.9173	74.6260	0.0000	0.0000	402.0089	252.2788
-15.0000	0.0000	1.5938	165.9982	104.1551	0.0003	0.0002	540.1302	338.9030
-10.0000	0.0000	1.5937	206.9729	129.8679	0.0000	0.0000	659.5404	413.8376
-5.0000	0.0000	1.5946	230.0598	144.2769	0.0000	0.0000	725.2758	454.8406
0.0000	0.0000	1.5936	226.8241	142.3323	0.0000	0.0000	717.1984	450.0426
5.0000	0.0000	1.5929	201.9089	126.7531	0.0000	0.0000	646.6534	405.9519
10.0000	0.0000	1.5946	164.6133	103.2329	0.0003	0.0002	540.7491	339.1163
15.0000	0.0000	1.5944	128.2222	80.4220	0.0000	0.0000	429.8395	269.5986
20.0000	0.0000	1.5937	95.1792	59.7209	0.0000	0.0000	325.1366	204.0093
25.0000	0.0000	1.5940	65.2481	40.9331	0.0000	0.0000	228.4006	143.2860
30.0000	0.0000	1.5942	37.5899	23.5792	0.0007	0.0004	139.7968	87.6911
35.0000	0.0000	1.5943	15.1551	9.5059	0.0000	0.0000	68.8568	43.1897
40.0000	0.0000	1.5938	3.9415	2.4730	0.0000	0.0000	28.4260	17.8350
45.0000	0.0000	1.5943	0.9376	0.5881	0.0000	0.0000	12.3395	7.7399
50.0000	0.0000	1.5938	0.3326	0.2087	0.0000	0.0000	5.9514	3.7341
55.0000	0.0000	1.5938	0.1676	0.1052	0.0000	0.0000	3.0510	1.9143
60.0000	0.0000	1.5938	0.0910	0.0571	0.0000	0.0000	1.5777	0.9899
65.0000	0.0000	1.5943	0.0704	0.0442	0.0005	0.0003	0.9364	0.5873
70.0000	0.0000	1.5945	0.0409	0.0257	0.0000	0.0000	0.6691	0.4196
75.0000	0.0000	1.5938	0.0386	0.0242	0.0000	0.0000	0.5357	0.3361
80.0000	0.0000	1.5942	0.0303	0.0190	0.0000	0.0000	0.4504	0.2825
0.0000	-20.0000	1.5942	105.6174	66.2510	0.0000	0.0000	359.8177	225.7040
0.0000	0.0000	1.5940	226.9667	142.3847	0.0000	0.0000	716.5278	449.5047
0.0000	20.0000	1.5947	132.6450	83.1787	0.0000	0.0000	446.0744	279.7231
