Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-60.0000	0.0000	1.9463	9.2080	4.7311	8.2445	4.2361	47.6168	24.4658
-40.0000	0.0000	1.9457	92.5167	47.5500	8.3875	4.3108	300.9370	154.6698
-20.0000	0.0000	1.9459	105.2631	54.0951	7.8729	4.0459	353.1581	181.4894
0.0000	0.0000	1.9458	103.8168	53.3538	8.4732	4.3546	337.5189	173.4585
20.0000	0.0000	1.9455	66.3138	34.0850	7.9616	4.0922	214.5240	110.2645
40.0000	0.0000	1.9453	19.4618	10.0045	7.8334	4.0269	68.7319	35.3323
60.0000	0.0000	1.9454	0.6909	0.3552	8.7662	4.5061	6.5184	3.3507
0.0000	-60.0000	1.9451	1.0041	0.5162	9.5216	4.8952	8.0422	4.1346
0.0000	-55.0000	1.9451	2.4741	1.2719	8.9219	4.5868	14.4554	7.4316
0.0000	-50.0000	1.9451	5.3571	2.7542	8.9426	4.5976	25.9135	13.3227
0.0000	-45.0000	1.9451	10.6608	5.4809	9.2228	4.7416	45.1248	23.1995
0.0000	-40.0000	1.9450	20.1123	10.3403	8.8484	4.5492	76.2760	39.2157
0.0000	-35.0000	1.9453	33.9074	17.4302	9.4083	4.8364	119.5702	61.4654
0.0000	-30.0000	1.9449	50.1332	25.7773	8.6563	4.4508	170.3608	87.5953
0.0000	-25.0000	1.9448	66.2441	34.0617	8.2692	4.2519	222.1699	114.2364
0.0000	-20.0000	1.9454	81.1685	41.7230	9.6137	4.9417	270.3429	138.9641
0.0000	-15.0000	1.9460	91.6540	47.0995	8.2163	4.2222	306.0451	157.2717
0.0000	-10.0000	1.9454	98.7937	50.7822	7.6281	3.9210	327.1976	168.1870
0.0000	-5.0000	1.9451	102.7563	52.8283	9.5833	4.9269	336.4269	172.9612
0.0000	0.0000	1.9456	103.6160	53.2576	8.2752	4.2534	336.8980	173.1622
0.0000	5.0000	1.9451	101.4511	52.1563	8.6618	4.4530	328.7201	168.9958
0.0000	10.0000	1.9451	95.2299	48.9586	8.9221	4.5869	308.6905	158.7008
0.0000	15.0000	1.9457	85.3394	43.8612	9.6762	4.9732	278.4043	143.0892
0.0000	20.0000	1.9456	73.4745	37.7653	9.3507	4.8062	242.9604	124.8797
0.0000	25.0000	1.9450	61.1258	31.4278	8.3191	4.2772	206.0176	105.9240
0.0000	30.0000	1.9454	48.7568	25.0624	8.5310	4.3852	168.6571	86.6946
0.0000	35.0000	1.9458	37.8523	19.4538	8.3263	4.2792	134.4738	69.1115
0.0000	40.0000	1.9456	28.2135	14.5016	9.0310	4.6419	104.2011	53.5586
0.0000	45.0000	1.9450	20.3602	10.4681	7.6981	3.9579	78.5368	40.3792
0.0000	50.0000	1.9455	13.8613	7.1249	9.2064	4.7323	57.0403	29.3197
0.0000	55.0000	1.9456	8.7511	4.4979	8.3536	4.2936	39.4854	20.2947
0.0000	60.0000	1.9458	4.5712	2.3493	8.7374	4.4904	24.7965	12.7437
