Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-60.0000	0.0000	1.9365	0.0589	0.0304	8.6066	4.4444	1.0580	0.5463
-55.0000	0.0000	1.9369	0.0960	0.0496	8.9715	4.6318	2.1462	1.1080
-50.0000	0.0000	1.9367	0.1968	0.1016	9.4096	4.8586	4.7410	2.4480
-45.0000	0.0000	1.9368	0.3426	0.1769	9.2372	4.7693	10.2966	5.3163
-40.0000	0.0000	1.9365	1.0469	0.5406	8.7190	4.5025	21.5272	11.1167
-35.0000	0.0000	1.9366	4.7867	2.4717	9.0999	4.6988	48.1481	24.8617
-30.0000	0.0000	1.9364	24.3412	12.5704	9.6428	4.9798	120.5002	62.2293
-25.0000	0.0000	1.9366	76.0703	39.2812	10.4133	5.3772	275.1763	142.0957
-20.0000	0.0000	1.9367	153.2942	79.1523	9.8671	5.0948	493.5045	254.8173
-15.0000	0.0000	1.9369	239.4517	123.6256	8.7589	4.5221	731.3118	377.5661
-10.0000	0.0000	1.9363	307.4466	158.7806	9.3211	4.8139	917.0139	473.5913
-5.0000	0.0000	1.9366	337.9008	174.4810	9.7686	5.0442	1000.2478	516.4956
0.0000	0.0000	1.9365	317.1447	163.7751	9.9174	5.1214	946.6769	488.8687
5.0000	0.0000	1.9364	253.3042	130.8136	9.5439	4.9287	780.9211	403.2901
10.0000	0.0000	1.9369	179.9702	92.9186	10.1377	5.2341	579.8714	299.3876
15.0000	0.0000	1.9365	121.0793	62.5246	10.1218	5.2268	407.6527	210.5093
20.0000	0.0000	1.9367	79.3764	40.9855	10.0732	5.2013	276.8937	142.9725
25.0000	0.0000	1.9369	49.8126	25.7177	9.3632	4.8341	179.9185	92.8900
30.0000	0.0000	1.9367	25.8473	13.3458	9.4787	4.8942	101.8306	52.5785
35.0000	0.0000	1.9365	9.0311	4.6635	8.3581	4.3160	47.2852	24.4175
40.0000	0.0000	1.9365	2.0578	1.0626	9.3426	4.8243	20.0205	10.3382
45.0000	0.0000	1.9364	0.5713	0.2950	10.0580	5.1941	9.7949	5.0582
50.0000	0.0000	1.9366	0.2546	0.1315	8.9553	4.6244	5.5364	2.8589
55.0000	0.0000	1.9363	0.1726	0.0892	10.0359	5.1830	3.5969	1.8576
60.0000	0.0000	1.9378	0.1524	0.0786	9.2941	4.7962	2.5969	1.3401
0.0000	-60.0000	1.9363	4.1236	2.1296	10.2423	5.2896	20.8148	10.7498
0.0000	-55.0000	1.9361	6.8602	3.5433	9.3855	4.8476	31.0560	16.0402
0.0000	-50.0000	1.9366	10.9649	5.6619	9.7778	5.0489	45.8811	23.6913
0.0000	-45.0000	1.9369	17.5987	9.0862	8.8501	4.5693	68.6928	35.4659
0.0000	-40.0000	1.9359	27.9818	14.4544	9.7843	5.0542	102.1378	52.7608
0.0000	-35.0000	1.9363	42.6919	22.0478	8.6550	4.4698	149.3804	77.1458
0.0000	-30.0000	1.9364	62.4117	32.2307	9.4489	4.8796	211.2837	109.1113
0.0000	-25.0000	1.9360	87.5327	45.2124	9.3328	4.8206	291.5959	150.6151
0.0000	-20.0000	1.9360	122.0353	63.0332	8.9985	4.6479	397.5097	205.3203
0.0000	-15.0000	1.9369	165.7004	85.5497	9.0858	4.6909	527.6997	272.4471
0.0000	-10.0000	1.9365	219.8160	113.5131	9.0976	4.6980	683.2577	352.8346
0.0000	-5.0000	1.9365	276.5805	142.8271	8.8561	4.5733	838.5799	433.0454
0.0000	0.0000	1.9366	316.8383	163.6023	9.3300	4.8176	946.6131	488.7922
0.0000	5.0000	1.9366	317.6979	164.0503	8.0871	4.1759	954.8976	493.0824
0.0000	10.0000	1.9366	288.5568	148.9988	9.9395	5.1324	879.6808	454.2309
0.0000	15.0000	1.9363	248.8580	128.5256	9.2773	4.7914	774.4157	399.9559
0.0000	20.0000	1.9370	208.8360	107.8117	9.4996	4.9042	660.2583	340.8588
0.0000	25.0000	1.9306	171.6086	88.8906	9.1146	4.7212	549.8288	284.8029
0.0000	30.0000	1.9366	138.8500	71.6976	9.8563	5.0894	451.0819	232.9238
0.0000	35.0000	1.6956	93.6828	55.2495	9.5146	5.6112	309.3893	182.4624
0.0000	40.0000	1.8450	73.0841	39.6125	10.3311	5.5996	250.3187	135.6759
0.0000	45.0000	1.8998	50.7604	26.7182	9.7050	5.1083	183.9193	96.8075
0.0000	50.0000	1.9214	32.0412	16.6764	9.2286	4.8032	126.0043	65.5811
0.0000	55.0000	1.9298	19.4660	10.0873	8.9772	4.6520	84.7317	43.9078
0.0000	60.0000	1.9336	11.5990	5.9987	10.0629	5.2043	56.4853	29.2127
