Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-60.0000	0.0000	1.9445	0.0622	0.0320	7.9533	4.0901	1.8548	0.9539
-55.0000	0.0000	1.9453	0.0932	0.0479	9.3050	4.7833	3.2138	1.6521
-50.0000	0.0000	1.9450	0.2211	0.1137	7.7076	3.9628	5.7996	2.9818
-45.0000	0.0000	1.9452	0.6370	0.3275	8.0539	4.1404	11.1135	5.7134
-40.0000	0.0000	1.9454	2.7486	1.4129	8.4589	4.3481	22.8477	11.7443
-35.0000	0.0000	1.9454	11.1243	5.7183	9.0167	4.6349	51.6625	26.5561
-30.0000	0.0000	1.9451	30.5758	15.7191	8.4913	4.3654	107.5254	55.2792
-25.0000	0.0000	1.9454	55.1039	28.3247	8.4545	4.3458	176.8911	90.9264
-20.0000	0.0000	1.9465	72.5179	37.2563	8.1973	4.2114	229.8243	118.0728
-15.0000	0.0000	1.9457	81.2290	41.7470	7.9506	4.0862	262.2733	134.7935
-10.0000	0.0000	1.9452	82.5397	42.4316	8.1679	4.1989	274.2966	141.0091
-5.0000	0.0000	1.9455	76.9016	39.5289	9.6419	4.9561	263.6685	135.5306
0.0000	0.0000	1.9453	67.4461	34.6707	8.2729	4.2527	235.0263	120.8153
5.0000	0.0000	1.9455	56.1456	28.8595	9.2090	4.7335	200.1751	102.8923
10.0000	0.0000	1.9455	45.3101	23.2893	8.5852	4.4128	162.3730	83.4593
15.0000	0.0000	1.9455	35.1907	18.0882	8.7063	4.4751	126.9811	65.2690
20.0000	0.0000	1.9453	25.5609	13.1401	8.8122	4.5301	92.7218	47.6653
25.0000	0.0000	1.9452	16.7981	8.6355	7.9333	4.0783	63.0028	32.3884
30.0000	0.0000	1.9454	8.9807	4.6162	8.1063	4.1668	37.5734	19.3135
35.0000	0.0000	1.9458	3.6472	1.8744	8.1320	4.1793	19.8557	10.2043
40.0000	0.0000	1.9457	1.2216	0.6279	8.3630	4.2981	10.0633	5.1720
45.0000	0.0000	1.9451	0.3629	0.1866	8.2751	4.2543	5.5763	2.8668
50.0000	0.0000	1.9454	0.1189	0.0611	8.2936	4.2633	3.5336	1.8164
55.0000	0.0000	1.9452	0.1036	0.0532	8.0836	4.1556	2.6385	1.3564
60.0000	0.0000	1.9458	0.0587	0.0302	8.8389	4.5426	2.1471	1.1035
0.0000	-60.0000	1.9457	30.7603	15.8092	8.4280	4.3316	98.1978	50.4687
0.0000	-40.0000	1.9459	47.4559	24.3881	8.7328	4.4879	155.4588	79.8921
0.0000	-20.0000	1.9456	61.1756	31.4434	9.1309	4.6931	203.4904	104.5910
0.0000	0.0000	1.9455	67.0537	34.4656	8.6282	4.4349	234.1671	120.3616
0.0000	20.0000	1.9457	78.6701	40.4325	8.2654	4.2480	288.6691	148.3616
0.0000	40.0000	1.9453	72.2459	37.1396	9.0678	4.6615	285.0406	146.5316
0.0000	60.0000	1.9454	64.0012	32.8990	8.3325	4.2832	206.1500	105.9689
