Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-60.0000	0.0000	1.9464	0.2052	0.1054	8.5638	4.3999	5.5032	2.8274
-55.0000	0.0000	1.9462	0.8722	0.4482	8.8922	4.5689	10.6259	5.4597
-50.0000	0.0000	1.9463	4.9853	2.5614	8.2059	4.2161	25.8637	13.2884
-45.0000	0.0000	1.9466	16.4928	8.4728	8.2297	4.2278	58.4743	30.0399
-40.0000	0.0000	1.9461	30.0992	15.4661	7.9501	4.0850	97.7159	50.2099
-35.0000	0.0000	1.9462	40.0001	20.5530	8.9711	4.6096	129.5172	66.5491
-30.0000	0.0000	1.9457	46.8149	24.0608	8.7955	4.5205	155.5392	79.9403
-25.0000	0.0000	1.9452	51.0790	26.2596	8.1043	4.1664	176.9778	90.9840
-20.0000	0.0000	1.9453	53.5856	27.5463	8.2525	4.2423	191.6467	98.5184
-15.0000	0.0000	1.9453	54.0938	27.8073	7.8706	4.0459	198.6688	102.1272
-10.0000	0.0000	1.9454	52.8881	27.1857	8.0470	4.1364	203.4101	104.5574
-5.0000	0.0000	1.9457	50.4830	25.9459	8.3874	4.3107	194.4288	99.9272
0.0000	0.0000	1.9460	46.8172	24.0582	9.1251	4.6892	175.6290	90.2514
5.0000	0.0000	1.9453	41.8501	21.5129	9.1636	4.7105	153.3355	78.8216
10.0000	0.0000	1.9456	35.8140	18.4075	9.4011	4.8319	128.8731	66.2375
15.0000	0.0000	1.9458	29.5948	15.2095	8.2827	4.2567	104.7732	53.8454
20.0000	0.0000	1.9457	22.6614	11.6468	8.2694	4.2500	81.1860	41.7253
25.0000	0.0000	1.9454	16.5187	8.4910	8.1732	4.2012	60.5559	31.1271
30.0000	0.0000	1.9458	10.8419	5.5719	7.8849	4.0522	42.3937	21.7871
35.0000	0.0000	1.9449	6.3612	3.2707	9.0787	4.6680	26.1769	13.4592
40.0000	0.0000	1.9455	3.2927	1.6925	8.9633	4.6071	15.6557	8.0470
45.0000	0.0000	1.9456	1.3972	0.7181	8.7976	4.5217	8.7222	4.4830
50.0000	0.0000	1.9454	0.5283	0.2716	8.1889	4.2093	5.0388	2.5901
55.0000	0.0000	1.9448	0.1510	0.0776	8.6431	4.4442	3.0858	1.5867
60.0000	0.0000	1.9451	0.0705	0.0362	8.5309	4.3859	2.1448	1.1027
0.0000	-60.0000	1.9453	23.7253	12.1963	8.1740	4.2019	76.5954	39.3748
0.0000	-40.0000	1.9451	34.2234	17.5948	8.3555	4.2957	114.6239	58.9300
0.0000	-20.0000	1.9457	42.2922	21.7357	10.1487	5.2158	146.1995	75.1381
0.0000	0.0000	1.9453	46.7424	24.0284	9.0880	4.6718	175.3694	90.1505
0.0000	20.0000	1.9455	56.0751	28.8229	7.8767	4.0486	213.5321	109.7565
0.0000	40.0000	1.9455	50.9382	26.1831	7.3718	3.7892	211.7590	108.8476
0.0000	60.0000	1.9449	43.5985	22.4172	9.0183	4.6370	143.1492	73.6034
