Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-60.0000	0.0000	1.9451	16.8469	8.6612	8.0360	4.1314	55.2187	28.3886
-40.0000	0.0000	1.9452	22.1630	11.3937	9.0719	4.6637	74.4492	38.2733
-20.0000	0.0000	1.9447	25.5799	13.1535	8.5977	4.4211	85.8124	44.1258
0.0000	0.0000	1.9449	27.3898	14.0832	9.2213	4.7414	92.7269	47.6780
20.0000	0.0000	1.9453	28.6057	14.7047	9.2016	4.7301	97.1807	49.9556
40.0000	0.0000	1.9448	29.6399	15.2402	8.4261	4.3325	100.3692	51.6078
60.0000	0.0000	1.9450	29.5218	15.1783	8.9828	4.6184	95.3358	49.0159
0.0000	-60.0000	1.9458	3.5166	1.8073	9.1282	4.6914	13.6701	7.0256
0.0000	-55.0000	1.9454	5.0508	2.5963	8.6167	4.4293	18.7913	9.6593
0.0000	-50.0000	1.9457	6.4323	3.3059	9.1939	4.7253	24.1714	12.4231
0.0000	-45.0000	1.9451	8.3825	4.3096	9.2553	4.7583	30.8607	15.8662
0.0000	-40.0000	1.9454	10.7162	5.5086	10.4308	5.3619	38.7946	19.9421
0.0000	-35.0000	1.9451	13.9956	7.1954	8.7689	4.5083	49.5026	25.4503
0.0000	-30.0000	1.9454	17.6545	9.0749	8.9729	4.6123	60.9923	31.3519
0.0000	-25.0000	1.9448	21.7526	11.1848	8.8184	4.5343	74.2820	38.1947
0.0000	-20.0000	1.9451	25.2963	13.0053	8.2840	4.2590	85.1452	43.7749
0.0000	-15.0000	1.9449	27.8524	14.3208	8.3228	4.2793	93.1969	47.9188
0.0000	-10.0000	1.9376	28.6572	14.7904	9.3890	4.8458	95.7917	49.4394
0.0000	-5.0000	1.9455	28.2748	14.5332	9.1676	4.7121	95.7055	49.1925
0.0000	0.0000	1.6799	23.7423	14.1329	9.0977	5.4156	80.1472	47.7087
0.0000	5.0000	1.8447	25.3726	13.7546	9.1124	4.9399	85.4382	46.3163
0.0000	10.0000	1.9025	24.5509	12.9045	8.4887	4.4619	83.5267	43.9035
0.0000	15.0000	1.9263	23.5014	12.2003	7.9800	4.1426	80.0301	41.5461
0.0000	20.0000	1.9371	21.9546	11.3338	9.1353	4.7160	75.2954	38.8703
0.0000	25.0000	1.9411	19.6663	10.1314	8.2412	4.2455	68.5162	35.2971
0.0000	30.0000	1.9437	17.6040	9.0570	8.5686	4.4084	61.5262	31.6544
0.0000	35.0000	1.9445	15.6455	8.0461	8.6015	4.4235	55.5429	28.5641
0.0000	40.0000	1.9453	13.4792	6.9290	9.2074	4.7331	48.4248	24.8927
0.0000	45.0000	1.9452	11.4761	5.8997	8.7191	4.4824	41.9453	21.5635
0.0000	50.0000	1.9452	9.6553	4.9637	9.2175	4.7386	35.1432	18.0667
0.0000	55.0000	1.9453	7.8214	4.0206	8.0767	4.1519	29.0638	14.9404
0.0000	60.0000	1.9453	5.9755	3.0717	8.3862	4.3109	22.4808	11.5563
