Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-60.0000	0.0000	1.9357	0.1069	0.0552	8.7833	4.5375	1.7574	0.9079
-55.0000	0.0000	1.9360	0.2642	0.1365	8.5215	4.4015	3.5451	1.8311
-50.0000	0.0000	1.9361	0.6603	0.3410	8.7005	4.4938	6.9696	3.5998
-45.0000	0.0000	1.9356	1.9945	1.0304	8.1027	4.1861	14.7651	7.6280
-40.0000	0.0000	1.9359	5.5376	2.8604	9.7019	5.0115	30.5005	15.7550
-35.0000	0.0000	1.9354	14.1730	7.3229	8.8412	4.5681	61.4252	31.7372
-30.0000	0.0000	1.9361	30.1946	15.5957	8.8829	4.5881	113.1609	58.4485
-25.0000	0.0000	1.9359	54.5988	28.2039	8.5428	4.4129	185.3045	95.7221
-20.0000	0.0000	1.9359	81.1924	41.9405	8.6413	4.4637	264.1887	136.4685
-15.0000	0.0000	1.9359	103.2388	53.3297	8.5631	4.4234	332.7686	171.8971
-10.0000	0.0000	1.9359	117.8523	60.8769	8.4371	4.3582	383.6649	198.1832
-5.0000	0.0000	1.9362	130.4002	67.3477	8.8685	4.5803	428.8096	221.4671
0.0000	0.0000	1.9358	146.6616	75.7638	8.3880	4.3331	478.2822	247.0755
5.0000	0.0000	1.9358	162.8592	84.1304	8.4652	4.3730	524.0060	270.6932
10.0000	0.0000	1.9358	176.3170	91.0801	10.0264	5.1794	558.4413	288.4742
15.0000	0.0000	1.9361	179.3678	92.6447	9.4951	4.9043	561.0265	289.7739
20.0000	0.0000	1.9359	166.6222	86.0698	9.0320	4.6655	520.3147	268.7718
25.0000	0.0000	1.9358	138.7321	71.6675	8.1474	4.2089	439.7042	227.1463
30.0000	0.0000	1.9360	102.7721	53.0846	9.4915	4.9026	335.5758	173.3341
35.0000	0.0000	1.9359	66.6251	34.4151	9.7061	5.0137	231.1703	119.4108
40.0000	0.0000	1.9373	38.4359	19.8403	8.7778	4.5311	145.5786	75.1465
45.0000	0.0000	1.9368	20.4151	10.5408	9.1948	4.7475	86.4789	44.6509
50.0000	0.0000	1.9368	10.2663	5.3007	8.1131	4.1889	49.9217	25.7753
55.0000	0.0000	1.9370	5.0514	2.6079	8.2585	4.2637	28.4472	14.6866
60.0000	0.0000	1.9371	2.4614	1.2707	9.8176	5.0683	16.2269	8.3771
0.0000	-60.0000	1.9366	4.7745	2.4654	8.7415	4.5138	21.8495	11.2823
0.0000	-55.0000	1.9369	10.5734	5.4590	8.9264	4.6087	40.3160	20.8151
0.0000	-50.0000	1.9367	17.8511	9.2175	9.5379	4.9249	63.6874	32.8852
0.0000	-45.0000	1.9371	26.2041	13.5274	10.2074	5.2694	92.6978	47.8535
0.0000	-40.0000	1.9372	37.4911	19.3530	8.4750	4.3748	130.4231	67.3247
0.0000	-35.0000	1.9373	52.7791	27.2430	8.9694	4.6297	180.9700	93.4115
0.0000	-30.0000	1.9369	72.9234	37.6498	9.1406	4.7192	245.0079	126.4958
0.0000	-25.0000	1.9374	98.1036	50.6377	8.7605	4.5219	322.1625	166.2892
0.0000	-20.0000	1.9366	123.3995	63.7198	9.5827	4.9482	398.4859	205.7660
0.0000	-15.0000	1.9373	142.5253	73.5705	8.1344	4.1989	457.9143	236.3721
0.0000	-10.0000	1.9371	149.4018	77.1284	8.2137	4.2403	482.7854	249.2373
0.0000	-5.0000	1.9370	149.4675	77.1657	8.6572	4.4694	486.4519	251.1410
0.0000	0.0000	1.9367	146.4957	75.6402	9.9332	5.1288	476.8539	246.2143
0.0000	5.0000	1.9296	139.9299	72.5166	8.7627	4.5411	457.2031	236.9387
0.0000	10.0000	1.9368	132.3009	68.3094	8.6021	4.4414	433.0024	223.5670
0.0000	15.0000	1.9370	121.5734	62.7648	8.6252	4.4529	399.2363	206.1140
0.0000	20.0000	1.6557	92.0210	55.5784	8.9186	5.3866	305.9797	184.8041
0.0000	25.0000	1.8354	89.0503	48.5169	8.8078	4.7987	297.7214	162.2063
0.0000	30.0000	1.8945	77.9061	41.1215	9.9059	5.2287	263.8688	139.2792
0.0000	35.0000	1.9184	64.7943	33.7747	9.2571	4.8254	222.9040	116.1912
0.0000	40.0000	1.9291	51.7911	26.8472	9.2034	4.7708	182.4395	94.5721
0.0000	45.0000	1.9327	40.6577	21.0365	9.1644	4.7417	145.6614	75.3661
0.0000	50.0000	1.9357	30.3142	15.6604	8.6166	4.4514	111.6967	57.7028
0.0000	55.0000	1.9355	22.0789	11.4076	8.6348	4.4614	83.5536	43.1701
0.0000	60.0000	1.9353	14.2386	7.3575	9.7558	5.0411	56.9765	29.4412
