Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-60.0000	0.0000	1.9361	0.1333	0.0689	11.4902	5.9348	3.1623	1.6334
-55.0000	0.0000	1.9360	0.2794	0.1443	9.3172	4.8127	7.1308	3.6833
-50.0000	0.0000	1.9361	0.7554	0.3901	10.9448	5.6530	14.9019	7.6969
-45.0000	0.0000	1.9362	3.5434	1.8301	10.7743	5.5647	33.5313	17.3183
-40.0000	0.0000	1.9359	16.3216	8.4308	9.7943	5.0592	82.1771	42.4480
-35.0000	0.0000	1.9362	51.9541	26.8330	9.4714	4.8917	189.2892	97.7632
-30.0000	0.0000	1.9363	107.0962	55.3089	10.9835	5.6723	346.6080	179.0026
-25.0000	0.0000	1.9363	162.6116	83.9787	11.8843	6.1375	507.0384	261.8536
-20.0000	0.0000	1.9363	207.6923	107.2643	9.3217	4.8143	640.5536	330.8189
-15.0000	0.0000	1.9363	237.0563	122.4295	9.2571	4.7809	727.1962	375.5660
-10.0000	0.0000	1.9362	245.1565	126.6197	10.2085	5.2725	752.6603	388.7378
-5.0000	0.0000	1.9360	232.4322	120.0553	10.2117	5.2745	717.6087	370.6574
0.0000	0.0000	1.9358	202.6856	104.7054	10.0960	5.2155	632.1240	326.5491
5.0000	0.0000	1.9361	164.3664	84.8935	11.0435	5.7039	523.0666	270.1584
10.0000	0.0000	1.9363	126.3407	65.2493	10.5730	5.4605	409.6316	211.5564
15.0000	0.0000	1.9290	92.2388	47.8169	9.6879	5.0222	305.1961	158.2148
20.0000	0.0000	1.9364	64.7626	33.4446	11.0296	5.6959	218.5729	112.8752
25.0000	0.0000	1.9361	42.6459	22.0262	10.4799	5.4128	148.3255	76.6089
30.0000	0.0000	1.7235	22.7706	13.2116	10.8228	6.2794	82.8953	48.0963
35.0000	0.0000	1.8536	11.4828	6.1947	11.1838	6.0335	48.0024	25.8964
40.0000	0.0000	1.9027	3.6711	1.9294	10.0222	5.2674	22.2460	11.6919
45.0000	0.0000	1.9219	0.8795	0.4576	9.7321	5.0636	10.1746	5.2939
50.0000	0.0000	1.9306	0.2917	0.1511	12.3432	6.3935	5.4392	2.8174
55.0000	0.0000	1.9340	0.1611	0.0833	9.6294	4.9790	3.3405	1.7273
60.0000	0.0000	1.9362	0.1173	0.0606	11.7294	6.0581	2.2583	1.1664
0.0000	-60.0000	1.9364	3.8203	1.9729	11.8490	6.1192	18.7037	9.6592
0.0000	-55.0000	1.9367	5.6723	2.9288	8.8494	4.5693	25.7358	13.2883
0.0000	-50.0000	1.9371	8.2484	4.2581	11.3656	5.8674	35.0808	18.1100
0.0000	-45.0000	1.9369	11.8754	6.1312	11.2301	5.7980	48.2661	24.9194
0.0000	-40.0000	1.9370	17.4466	9.0072	10.7367	5.5431	67.1738	34.6800
0.0000	-35.0000	1.9370	26.2646	13.5593	10.8299	5.5910	96.6631	49.9029
0.0000	-30.0000	1.9368	38.8741	20.0715	10.2412	5.2877	136.6278	70.5436
0.0000	-25.0000	1.9362	54.0840	27.9329	11.0888	5.7271	186.9953	96.5780
0.0000	-20.0000	1.9366	73.5377	37.9718	9.8875	5.1055	250.6887	129.4451
0.0000	-15.0000	1.9369	98.9007	51.0624	11.7499	6.0665	330.5757	170.6762
0.0000	-10.0000	1.9367	133.2091	68.7798	10.2301	5.2821	433.3734	223.7635
0.0000	-5.0000	1.9361	170.3760	87.9980	10.7442	5.5493	540.2377	279.0288
0.0000	0.0000	1.9362	203.1159	104.9049	11.3108	5.8418	634.8035	327.8622
0.0000	5.0000	1.9364	221.4685	114.3684	9.8148	5.0684	687.1505	354.8510
0.0000	10.0000	1.9367	219.3198	113.2429	10.2713	5.3035	683.9231	353.1347
0.0000	15.0000	1.9368	198.4101	102.4403	10.7583	5.5546	628.6112	324.5557
0.0000	20.0000	1.9367	167.8685	86.6764	9.6493	4.9823	544.9233	281.3629
0.0000	25.0000	1.9369	137.7067	71.0955	9.3599	4.8323	457.5291	236.2142
0.0000	30.0000	1.9367	112.5992	58.1408	10.5172	5.4306	380.0043	196.2159
0.0000	35.0000	1.9367	89.8553	46.3960	10.0247	5.1761	308.9344	159.5157
0.0000	40.0000	1.9369	69.4778	35.8708	10.6396	5.4931	244.2262	126.0920
0.0000	45.0000	1.9364	50.5208	26.0894	10.0471	5.1884	184.9398	95.5046
0.0000	50.0000	1.9369	34.4269	17.7745	10.2126	5.2728	133.6069	68.9810
0.0000	55.0000	1.9366	22.0627	11.3924	10.0218	5.1749	93.6035	48.3336
0.0000	60.0000	1.9363	13.4486	6.9456	10.3276	5.3338	63.3702	32.7280
