Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-80.0000	0.0000	1.9320	0.0571	0.0296	0.0000	0.0000	1.2471	0.6455
-75.0000	0.0000	1.9314	0.1168	0.0605	0.0000	0.0000	2.0619	1.0676
-70.0000	0.0000	1.9319	0.2004	0.1037	0.0000	0.0000	3.4465	1.7840
-65.0000	0.0000	1.9312	0.9227	0.4778	0.0000	0.0000	7.2639	3.7613
-60.0000	0.0000	1.9314	5.2100	2.6976	0.0000	0.0000	19.4395	10.0653
-55.0000	0.0000	1.9323	16.2926	8.4319	0.0000	0.0000	46.0635	23.8391
-50.0000	0.0000	1.9321	29.3524	15.1923	0.0000	0.0000	78.4332	40.5958
-45.0000	0.0000	1.9327	40.5022	20.9564	0.0000	0.0000	108.6190	56.2011
-40.0000	0.0000	1.9320	51.2493	26.5270	0.0000	0.0000	139.3030	72.1042
-35.0000	0.0000	1.9310	63.2384	32.7489	0.0000	0.0000	172.4040	89.2820
-30.0000	0.0000	1.9318	74.9750	38.8117	0.0000	0.0000	205.3048	106.2786
-25.0000	0.0000	1.9313	87.9572	45.5420	0.0000	0.0000	242.3926	125.5047
-20.0000	0.0000	1.9323	104.8253	54.2492	0.0000	0.0000	286.9114	148.4824
-15.0000	0.0000	1.9319	123.3851	63.8680	0.0000	0.0000	335.6786	173.7578
-10.0000	0.0000	1.9312	147.2621	76.2546	0.0000	0.0000	395.0658	204.5711
-5.0000	0.0000	1.9320	176.6425	91.4293	0.0000	0.0000	464.7081	240.5306
0.0000	0.0000	1.9313	193.9475	100.4239	0.0000	0.0000	506.5819	262.3026
5.0000	0.0000	1.9317	197.5544	102.2683	0.0000	0.0000	515.8674	267.0498
10.0000	0.0000	1.9314	183.8558	95.1942	0.0000	0.0000	483.7075	250.4471
15.0000	0.0000	1.9324	167.9497	86.9129	0.0000	0.0000	444.4692	230.0099
20.0000	0.0000	1.9321	149.2144	77.2279	0.0000	0.0000	395.9431	204.9256
25.0000	0.0000	1.9314	130.1200	67.3712	0.0000	0.0000	345.8184	179.0516
30.0000	0.0000	1.9322	108.4087	56.1059	0.0000	0.0000	288.4273	149.2730
35.0000	0.0000	1.9324	85.9933	44.5015	0.0000	0.0000	228.8321	118.4205
40.0000	0.0000	1.9318	63.5962	32.9212	0.0000	0.0000	171.0205	88.5304
45.0000	0.0000	1.9312	37.4339	19.3841	0.0000	0.0000	105.8780	54.8260
50.0000	0.0000	1.9325	13.0138	6.7342	0.0000	0.0000	46.5217	24.0732
55.0000	0.0000	1.9317	2.3890	1.2367	0.0000	0.0000	16.8522	8.7241
