Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-60.0000	0.0000	1.9456	13.2684	6.8199	7.7364	3.9764	44.2895	22.7645
-40.0000	0.0000	1.9451	16.0839	8.2688	9.0023	4.6281	55.2360	28.3972
-20.0000	0.0000	1.9451	17.7433	9.1220	8.2975	4.2658	60.9312	31.3251
0.0000	0.0000	1.9452	18.8297	9.6802	8.3650	4.3004	64.8888	33.3588
20.0000	0.0000	1.9456	19.4389	9.9909	8.2297	4.2298	66.9530	34.4116
40.0000	0.0000	1.9454	19.5773	10.0636	8.6433	4.4431	67.7091	34.8056
60.0000	0.0000	1.9452	18.9326	9.7331	8.3315	4.2831	62.1995	31.9762
0.0000	-60.0000	1.9452	6.0393	3.1048	7.6385	3.9269	20.8704	10.7294
0.0000	-55.0000	1.9450	8.1171	4.1732	8.7204	4.4834	28.2211	14.5092
0.0000	-50.0000	1.9450	10.0940	5.1896	8.0791	4.1537	35.3298	18.1640
0.0000	-45.0000	1.9454	12.0962	6.2178	8.9791	4.6155	42.2982	21.7426
0.0000	-40.0000	1.9453	14.2364	7.3183	7.9449	4.0841	49.6002	25.4973
0.0000	-35.0000	1.9451	16.2574	8.3582	7.8912	4.0570	56.4695	29.0320
0.0000	-30.0000	1.9449	17.9920	9.2509	8.9888	4.6218	62.2736	32.0190
0.0000	-25.0000	1.9451	18.7388	9.6338	9.7537	5.0145	65.1341	33.4862
0.0000	-20.0000	1.9466	19.1894	9.8581	8.0908	4.1565	66.6478	34.2388
0.0000	-15.0000	1.9461	19.0736	9.8011	8.2576	4.2432	66.3072	34.0724
0.0000	-10.0000	1.9467	19.0263	9.7736	8.6243	4.4302	65.8228	33.8125
0.0000	-5.0000	1.9471	19.0155	9.7662	7.9325	4.0740	65.2920	33.5333
0.0000	0.0000	1.9470	18.7561	9.6335	8.2594	4.2422	64.4777	33.1168
0.0000	5.0000	1.9473	18.5381	9.5200	8.7183	4.4772	63.3348	32.5249
0.0000	10.0000	1.9466	17.6403	9.0623	9.2982	4.7768	61.0304	31.3531
0.0000	15.0000	1.9464	17.0315	8.7501	7.8778	4.0473	58.6629	30.1387
0.0000	20.0000	1.9462	16.1066	8.2759	8.7600	4.5010	55.6198	28.5785
0.0000	25.0000	1.9463	14.8165	7.6127	8.8587	4.5516	51.4978	26.4593
0.0000	30.0000	1.9472	13.4875	6.9264	8.9847	4.6141	47.5084	24.3977
0.0000	35.0000	1.9464	12.4500	6.3964	8.9951	4.6213	43.7822	22.4937
0.0000	40.0000	1.9463	11.2060	5.7575	8.5060	4.3702	39.5486	20.3194
0.0000	45.0000	1.9465	9.8708	5.0712	7.6468	3.9286	35.2765	18.1235
0.0000	50.0000	1.9465	8.6730	4.4557	8.4712	4.3520	30.8457	15.8468
0.0000	55.0000	1.9462	7.3616	3.7826	8.7247	4.4830	26.3171	13.5225
0.0000	60.0000	1.9464	6.0736	3.1205	10.1718	5.2261	21.4416	11.0163
