Xcoord	Ycoord	Beam	chan0	chan0 norm	chan2	chan2 norm	chan3	chan3 norm	
-60.0000	0.0000	1.9360	0.0633	0.0327	8.3602	4.3184	1.0031	0.5181
-55.0000	0.0000	1.9363	0.0977	0.0505	9.5828	4.9490	1.9456	1.0048
-50.0000	0.0000	1.9357	0.1803	0.0931	8.4294	4.3547	4.1248	2.1309
-45.0000	0.0000	1.9363	0.4269	0.2205	9.0444	4.6709	8.7446	4.5161
-40.0000	0.0000	1.9359	1.3975	0.7219	8.6104	4.4477	18.2427	9.4232
-35.0000	0.0000	1.9357	5.6945	2.9418	8.1967	4.2345	41.1119	21.2388
-30.0000	0.0000	1.9358	21.2429	10.9739	8.8977	4.5965	97.1836	50.2043
-25.0000	0.0000	1.9358	56.1175	28.9894	9.2361	4.7712	203.3044	105.0237
-20.0000	0.0000	1.9362	105.6855	54.5848	9.0686	4.6838	347.5566	179.5073
-15.0000	0.0000	1.9357	156.5735	80.8874	8.8174	4.5551	497.5890	257.0595
-10.0000	0.0000	1.9356	205.0805	105.9512	9.3786	4.8453	637.9089	329.5641
-5.0000	0.0000	1.9355	247.2027	127.7226	8.9374	4.6177	760.4076	392.8809
0.0000	0.0000	1.9359	277.5178	143.3543	9.2945	4.8012	843.5400	435.7383
5.0000	0.0000	1.9361	280.8726	145.0687	8.4736	4.3766	848.4946	438.2413
10.0000	0.0000	1.9359	248.8220	128.5293	8.7623	4.5262	761.5894	393.3998
15.0000	0.0000	1.9358	188.1901	97.2150	9.0256	4.6624	596.1711	307.9694
20.0000	0.0000	1.9354	123.6508	63.8888	9.3573	4.8348	414.7058	214.2733
25.0000	0.0000	1.9357	72.9455	37.6852	8.6320	4.4595	263.2506	136.0008
30.0000	0.0000	1.9355	38.2219	19.7481	9.1173	4.7106	152.5006	78.7924
35.0000	0.0000	1.9357	16.9610	8.7623	8.9835	4.6410	80.3634	41.5166
40.0000	0.0000	1.9357	6.1981	3.2019	10.0168	5.1747	39.2713	20.2876
45.0000	0.0000	1.9355	2.1885	1.1307	8.9617	4.6302	19.1530	9.8955
50.0000	0.0000	1.9356	0.9129	0.4717	9.3001	4.8048	10.4918	5.4205
55.0000	0.0000	1.9357	0.4304	0.2224	9.6017	4.9603	6.1231	3.1632
60.0000	0.0000	1.9356	0.2414	0.1247	8.6984	4.4938	3.8727	2.0007
0.0000	-60.0000	1.9357	2.2701	1.1728	8.7940	4.5431	15.2015	7.8534
0.0000	-55.0000	1.9356	5.5649	2.8750	9.4431	4.8786	27.3070	14.1075
0.0000	-50.0000	1.9355	13.0300	6.7321	9.1326	4.7185	50.9370	26.3173
0.0000	-45.0000	1.9357	24.2172	12.5108	9.9410	5.1356	84.9895	43.9064
0.0000	-40.0000	1.9357	36.9218	19.0740	10.3002	5.3211	125.0467	64.5997
0.0000	-35.0000	1.9357	52.0440	26.8870	9.4462	4.8801	174.9580	90.3868
0.0000	-30.0000	1.7209	63.0121	36.6152	9.2549	5.3778	210.9028	122.5520
0.0000	-25.0000	1.8522	93.9266	50.7111	8.2188	4.4373	309.7527	167.2360
0.0000	-20.0000	1.9019	132.5211	69.6773	9.1329	4.8019	426.6036	224.3008
0.0000	-15.0000	1.9217	180.3425	93.8452	9.3310	4.8556	566.7657	294.9291
0.0000	-10.0000	1.9298	230.8036	119.5993	8.6724	4.4939	708.1619	366.9599
0.0000	-5.0000	1.9332	266.6815	137.9450	8.6732	4.4863	808.8915	418.4112
0.0000	0.0000	1.9350	277.7620	143.5442	9.9542	5.1442	843.3619	435.8398
0.0000	5.0000	1.9355	269.3806	139.1764	9.9810	5.1567	822.0286	424.7038
0.0000	10.0000	1.9363	247.8580	128.0042	10.2172	5.2766	763.4197	394.2618
0.0000	15.0000	1.9360	220.8926	114.0967	9.6643	4.9919	685.7222	354.1930
0.0000	20.0000	1.9360	190.8832	98.5952	9.3959	4.8532	597.2482	308.4913
0.0000	25.0000	1.9361	160.6449	82.9731	8.1363	4.2024	507.5181	262.1329
0.0000	30.0000	1.9363	131.3787	67.8515	9.3731	4.8408	419.8717	216.8458
0.0000	35.0000	1.9361	102.5185	52.9510	9.5123	4.9131	335.2056	173.1342
0.0000	40.0000	1.9361	76.2019	39.3575	9.8168	5.0703	255.8357	132.1365
0.0000	45.0000	1.9358	54.2682	28.0341	9.8649	5.0961	189.5572	97.9222
0.0000	50.0000	1.9353	36.8074	19.0193	9.4601	4.8883	134.5509	69.5259
0.0000	55.0000	1.9360	24.9114	12.8672	10.0916	5.2125	95.5039	49.3296
0.0000	60.0000	1.9361	16.2008	8.3679	8.7620	4.5257	65.5078	33.8356
